"Country","Year","Season","Area","Fleets","Fleet1","Catch.Cat.","Discards.Imported.Or.Raised","Catch..kg","Source","p","Catch..kgOld"
"France",2002,1,"27.7.h","GTR_DEF_>=220_0_0","GNS_DEF","Landings","Imported",0,"FillCountry",1,0
"France",2002,1,"27.7.h","MIS_MIS_0_0_0_HC","MIS_MIS","Landings","Imported",42.56,"FillCountry",1,42.56
"France",2002,1,"27.7.h","OTB_CRU_0_0","OTB_CRU","Landings","Imported",3916.32,"FillCountry",1,3916.32
"France",2002,1,"27.7.h","OTB_DEF_100-119_0_0","OTB_DEF","Landings","Imported",8587.71,"FillCountry",1,8587.71
"France",2002,1,"27.7.h","OTB_DEF_70-99_0_0","OTB_DEF","Landings","Imported",8541.62,"FillCountry",1,8541.62
"France",2002,1,"27.7.h","OTT-CRU","OTB_CRU","Landings","Imported",440.72,"FillCountry",1,440.72
"France",2002,1,"27.7.h","OTT-DEF","OTB_DEF","Landings","Imported",537.94,"FillCountry",1,537.94
"France",2002,1,"27.7.h","OTT_DEF_100-119_0_0","OTB_DEF","Landings","Imported",49657.76,"FillCountry",1,49657.76
"France",2002,1,"27.7.h","OTT_DEF_>=70_0_0","OTB_DEF","Landings","Imported",27059.35,"FillCountry",1,27059.35
"France",2002,1,"27.7.j","GNS_DEF_>=100_0_0","GNS_DEF","Landings","Imported",22251.48,"FillCountry",1,22251.48
"France",2002,1,"27.7.j","GTR_DEF_100-119_0_0","GNS_DEF","Landings","Imported",0.37,"FillCountry",1,0.37
"France",2002,1,"27.7.j","GTR_DEF_120-219_0_0","GNS_DEF","Landings","Imported",261.48,"FillCountry",1,261.48
"France",2002,1,"27.7.j","MIS_MIS_0_0_0_HC","MIS_MIS","Landings","Imported",42.79,"FillCountry",1,42.79
"France",2002,1,"27.7.j","OTB_CRU_0_0","OTB_CRU","Landings","Imported",97.62,"FillCountry",1,97.62
"France",2002,1,"27.7.j","OTB_DEF_100-119_0_0","OTB_DEF","Landings","Imported",12522.13,"FillCountry",1,12522.13
"France",2002,1,"27.7.j","OTB_DEF_70-99_0_0","OTB_DEF","Landings","Imported",7151.07,"FillCountry",1,7151.07
"France",2002,1,"27.7.j","OTT-CRU","OTB_CRU","Landings","Imported",0.87,"FillCountry",1,0.87
"France",2002,1,"27.7.j","OTT_DEF_100-119_0_0","OTB_DEF","Landings","Imported",4219.06,"FillCountry",1,4219.06
"France",2002,1,"27.7.j","OTT_DEF_>=70_0_0","OTB_DEF","Landings","Imported",42.35,"FillCountry",1,42.35
"France",2002,1,"27.7.k","GNS_DEF_0_0","GNS_DEF","Landings","Imported",2478.3,"FillCountry",1,2478.3
"France",2002,1,"27.7.k","GNS_DEF_>=100_0_0","GNS_DEF","Landings","Imported",42.57,"FillCountry",1,42.57
"France",2002,1,"27.7.k","MIS_MIS_0_0_0_HC","MIS_MIS","Landings","Imported",7.55,"FillCountry",1,7.55
