EG,StockCode,StockFullName1
WGDEEP,bli.27.123a4,"Blue ling (Molva dypterygia) in subareas 1, 2, and 4 and in Division 3.a (Northeast Arctic, North Sea, Skagerrak, and Kattegat)"
WGDEEP,bli.27.5b67,Blue ling (Molva dypterygia) in subareas 6 and 7 and in Division 5.b (Celtic Seas and Faroes grounds)
WGDEEP,bli.27.5b6712,"Blue ling in subareas 6, 7, and 12 and in Division 5.b (Celtic Seas, western Hatton Bank, and Faroes grounds)"
WGDEEP,bli.27.nea,"Blue ling (Molva dypterygia) in subareas 1, 2, 8, 9, and 12 and in divisions 3.a and 4.a (other areas)"
WGDEEP,bsf.27.nea,"Black scabbardfish (Aphanopus carbo) in subareas 1, 2, 4–8, 10, and 14 and in divisions 3.a, 9.a, and 12.b (Northeast Atlantic and Arctic Ocean)"
WGDEEP,gfb.27.nea,"Greater forkbeard (Phycis blennoides) in subareas 1–10, 12, and 14 (Northeast Atlantic and adjacent waters)"
WGDEEP,lin.27.1-2,Ling (Molva molva) in subareas 1 and 2 (Northeast Arctic)
WGDEEP,lin.27.346-91214,"Ling (Molva molva) in subareas 3,4, 6–9, 12, and 14 (Northeast Atlantic and Arctic Ocean)"
WGDEEP,lin.27.5b,Ling (Molva molva) in Division 5.b (Faroes grounds)
WGDEEP,ory.27.nea,"Orange roughy (Hoplostethus atlanticus) in subareas 1–10, 12, and 14 (Northeast Atlantic and adjacent waters)"
WGDEEP,rhg.27.nea,"Roughhead grenadier (Macrourus berglax) in subareas 5–8, 10, 12, and 14 (Northeast Atlantic, Arctic Ocean)"
WGDEEP,rng.27.1245a8914ab,"Roundnose grenadier (Coryphaenoides rupestris) in subareas 1, 2, 4, 8, and 9; in Division 14.a; and in subdivisions 14.b.2 and 5.a.2 (Northeast Atlantic, Arctic Ocean)"
WGDEEP,rng.27.3a,"Roundnose grenadier (Coryphaenoides rupestris) in Division 3.a (Skagerrak, Kattegat)"
WGDEEP,rng.27.5a10b12ac14b,"Roundnose grenadier (Coryphaenoides rupestris) in divisions 10.b and 12.c and in subdivisions 12.a.1, 14.b.1, and 5.a.1 (Oceanic Northeast Atlantic, northern Reykjanes Ridge)"
WGDEEP,rng.27.5b6712b,"Roundnose grenadier (Coryphaenoides rupestris) in subareas 6 and 7 and in divisions 5.b and 12.b (Celtic Seas and the English Channel, Faroes grounds, western Hatton Bank)"
WGDEEP,sbr.27.10,Blackspot seabream (Pagellus bogaraveo) in Subarea 10 (Azores grounds)
WGDEEP,sbr.27.6-8,"Blackspot seabream (Pagellus bogaraveo) in subareas 6–8 (Celtic Seas, English Channel, Bay of Biscay)"
WGDEEP,sbr.27.9,Blackspot seabream (Pagellus bogaraveo) in Subarea 9 (Atlantic Iberian waters)
WGDEEP,tsu.27.nea,"Roughsnout grenadier (Trachyrincus scabrus) in subareas 1, 2, 4–8, 10, 12, and 14 and in Division 3a (Northeast Atlantic, Arctic Ocean)"
WGDEEP,usk.27.1-2,Tusk (Brosme brosme) in subareas 1 and 2 (Northeast Arctic)
WGDEEP,usk.27.12ac,"Tusk (Brosme brosme) in Subarea 12, excluding Division 12.b (southern Mid-Atlantic Ridge)"
WGDEEP,usk.27.3a45b6a7-912b,"Tusk (Brosme brosme) in subareas 4 and 7–9 and in divisions 3.a, 5.b, 6.a, and 12.b (Northeast Atlantic)"
WGDEEP,usk.27.6b,Tusk (Brosme brosme) in Division 6.b (Rockall)
WGEEL,,
WGEEL,,
WGEEL,ele.2737.nea,European eel (Anguilla anguilla) throughout its natural range
WGEF,,
WGEF,,
WGEF,agn.27.nea,"Angel shark (Squatina squatina) in subareas 1–10, 12, and 14 (Northeast Atlantic and adjacent waters)"
WGEF,bsk.27.nea,"Basking shark (Cetorhinus maximus) in subareas 1–10, 12, and 14 (Northeast Atlantic and adjacent waters)"
WGEF,cyo.27.nea,"Portuguese dogfish (Centroscymnus coelolepis, Centrophorus squamosus) in subareas 1–10, 12, and 14 (Northeast Atlantic and adjacent waters)"
WGEF,dgs.27.nea,"Spurdog (Squalus acanthias) in subareas 1–10, 12, and 14 (Northeast Atlantic and adjacent waters)"
WGEF,gag.27.nea,"Tope (Galeorhinus galeus) in subareas 1–10, 12, and 14 (Northeast Atlantic and adjacent waters)"
WGEF,guq.27.nea,"Leafscale gulper shark (Centrophorus squamosus) in subareas 1–10, 12, and 14 (Northeast Atlantic and adjacent waters)"
WGEF,por.27.nea,"Porbeagle (Lamna nasus) in subareas 1–10, 12, and 14 (Northeast Atlantic and adjacent waters)"
WGEF,raj.27.1012,"Rays and skates (Rajidae) (mainly thornback ray [Raja clavata]) in subareas 10 and 12 (Azores grounds, north of Azores)"
WGEF,raj.27.3a47d,"Other rays and skates (Rajidae) in Subarea 4 and in divisions 3.a and 7.d (North Sea, Skagerrak, Kattegat, eastern English Channel)"
WGEF,raj.27.67a-ce-k,"Other rays and skates (Rajiformes) in Subarea 6 and in divisions 7.a–c and 7.e–k (Rockall, West of Scotland, Celtic Sea, western English Channel)"
WGEF,raj.27.89a,"Other rays and skates (Rajidae) in Subarea 8 and in Division 9.a (Bay of Biscay, Atlantic Iberian waters)"
WGEF,rja.27.nea,"White skate (Rostroraja alba) in subareas 1–10, 12, and 14 (Northeast Atlantic and adjacent waters)"
WGEF,rjb.27.3a4,"Common skate complex (Blue skate [Dipturus batis] and flapper skate [Dipturus intermedius]) in Subarea 4 and in Division 3.a (North Sea, Skagerrak, Kattegat)"
WGEF,rjb.27.67a-ce-k,Common skate complex (Blue skate [Dipturus batis] and flapper skate [Dipturus intermedius]) in Subarea 6 and in divisions 7.a–c and 7.e–k (Celtic Seas and western English Channel)
WGEF,rjb.27.89a,Common skate complex (Blue skate (Dipturus batis) and flapper skate (Dipturus intermedius) in Subarea 8 and in Division 9.a (Bay of Biscay and Atlantic Iberian waters)
WGEF,rjc.27.3a47d,"Thornback ray (Raja clavata) in Subarea 4 and in divisions 3.a and 7.d (North Sea, Skagerrak, Kattegat, and eastern English Channel)"
WGEF,rjc.27.6,Thornback ray (Raja clavata) in Subarea 6 (West of Scotland)
WGEF,rjc.27.7afg,"Thornback ray (Raja clavata) in divisions 7.a, 7.f, and 7.g (Irish Sea, Bristol Channel, Celtic Sea North)"
WGEF,rjc.27.7e,Thornback ray (Raja clavata) in Division 7.e (western English Channel)
WGEF,rjc.27.8abd,"Thornback ray (Raja clavata) in divisions 8.a, 8.b, and 8.d (Bay of Biscay)"
WGEF,rjc.27.8c,Thornback ray (Raja clavata) in Division 8.c (Cantabrian Sea)
WGEF,rjc.27.9a,Thornback ray (Raja clavata) in Division 9.a (Atlantic Iberian waters)
WGEF,rje.27.7de,Small-eyed ray (Raja microocellata) in divisions 7.d and 7.e (English Channel)
WGEF,rje.27.7fg,"Small-eyed ray (Raja microocellata) in divisions 7.f and 7.g (Bristol Channel, Celtic Sea North)"
WGEF,rjf.27.67,"Shagreen ray (Leucoraja fullonica) in subareas 6 and 7 (West of Scotland, southern Celtic Seas, English Channel)"
WGEF,rjh.27.4a6,"Blonde ray (Raja brachyura) in Subarea 6 and in Division 4.a (North Sea, West of Scotland)"
WGEF,rjh.27.4c7d,"Blonde ray (Raja brachyura) in divisions 4.c and 7.d (southern North Sea, eastern English Channel)"
WGEF,rjh.27.7afg,"Blonde ray (Raja brachyura) in divisions 7.a, 7.f, and 7.g (Irish Sea, Bristol Channel, Celtic Sea North)"
WGEF,rjh.27.7e,Blonde ray (Raja brachyura) in Division 7.e (western English Channel)
WGEF,rjh.27.9a,Blonde ray (Raja brachyura) in Division 9.a (Atlantic Iberian waters)
WGEF,rji.27.67,"Sandy ray (Leucoraja circularis) in subareas 6 and 7 (West of Scotland, southern Celtic Seas, English Channel)"
WGEF,rjm.27.3a47d,"Spotted ray (Raja montagui) in Subarea 4 and in divisions 3.a and 7.d (North Sea, Skagerrak, Kattegat, eastern English Channel)"
WGEF,rjm.27.67bj,"Spotted ray (Raja montagui) in Subarea 6 and in divisions 7.b and 7.j (West of Scotland, west and southwest of Ireland)"
WGEF,rjm.27.7ae-h,"Spotted ray (Raja montagui) in divisions 7.a and 7.e–h (southern Celtic Seas, western English Channel)"
WGEF,rjm.27.8,Spotted ray (Raja montagui) in  Subarea 8 (Bay of Biscay)
WGEF,rjm.27.9a,Spotted ray (Raja montagui) in Division 9.a (Atlantic Iberian waters)
WGEF,rjn.27.3a4,"Cuckoo ray (Leucoraja naevus) in Subarea 4 and in Division 3.a (North Sea, Skagerrak, Kattegat)"
WGEF,rjn.27.678abd,"Cuckoo ray (Leucoraja naevus) in subareas 6 and 7 and in divisions 8.a, 8.b, and 8.d (West of Scotland, southern Celtic Seas, western English Channel, Bay of Biscay)"
WGEF,rjn.27.8c,Cuckoo ray (Leucoraja naevus) in Division 8.c (Cantabrian Sea)
WGEF,rjn.27.9a,Cuckoo ray (Leucoraja naevus) in Division 9.a (Atlantic Iberian waters)
WGEF,rjr.27.23a4,"Starry ray (Amblyraja radiata) in subareas 2 and 4 and in Division 3.a (Norwegian Sea, North Sea, Skagerrak, Kattegat)"
WGEF,rju.27.7bj,Undulate ray (Raja undulata) in divisions 7.b and 7.j (west and southwest of Ireland)
WGEF,rju.27.7de,Undulate ray (Raja undulata) in divisions 7.d and 7.e (English Channel)
WGEF,rju.27.8ab,Undulate ray (Raja undulata) in divisions 8.a and 8.b (northern and central Bay of Biscay)
